date,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,tvl_total_usd,tvl_uniswap_usd,tvl_aave_usd,usdc,vixcls,dtwexbgs,fear_greed,fedfunds,gtrends_defi,gtrends_crypto_crash,gtrends_ethereum,eth_log_return,btc_log_return,tvl_log_return,eth_vol_30d,btc_vol_30d,tvl_vol_30d,tvl_drawdown,event_luna,event_ftx,event_svb,usdc_depeg,usdc_deviation,usdc_depeg_severity,fg_norm,gtrends_norm,sentiment_composite,sentiment_z,vix_change,dxy_log_return,ffr_change,event_day,event,tvl_indexed,eth_indexed
2022-11-13,1257.25,1274.23,1200.66,1221.49,547410.5304,16813.16,16954.28,16229.0,16329.85,184960.78846,42796683675,3808143112,4619997372.0,,,,22.0,3.78,7.0,2.0,40.0,-0.0288553710435409,-0.0291029542452625,-0.0164456999172694,1.2214629661495051,0.817699597538661,0.6221590101236173,-0.319102352948109,0,1,0,0,,,0.22,0.1633333333333333,0.1916666666666666,-1.1921026996634612,,,0.0,2,FTX bankruptcy,96.20891346505118,94.74202655745843
2022-11-14,1221.5,1291.2,1171.13,1243.28,934742.0059,16331.78,17190.0,15815.21,16619.46,380210.7775,41924913286,3734387421,4620084517.0,,23.73,123.4277,24.0,3.78,7.0,2.0,40.0,0.0176816235988232,0.0175795765326142,-0.0205803759620503,1.2221504211143916,0.8216004873700681,0.6238788453681418,-0.3329722689244808,0,1,0,0,,,0.24,0.1633333333333333,0.2016666666666666,-1.1109151445487686,,,0.0,3,FTX bankruptcy,94.24913353084825,96.43211715065773
2022-11-15,1243.29,1291.0,1234.01,1253.23,632825.568,16617.72,17134.69,16527.72,16900.57,282461.84391,42105642810,3800496893,4422573690.0,,24.54,123.039,22.0,3.78,7.0,2.0,40.0,0.0079711699010384,0.0167730512461791,0.0043015258036655,1.2193136147763275,0.8234290520215563,0.6249174969438337,-0.3177279137040727,0,1,0,0,,,0.22,0.1633333333333333,0.1916666666666666,-1.1921026996634612,0.8099999999999987,-0.0031541812525593,0.0,4,FTX bankruptcy,94.65542181400448,97.20386572350459
2022-11-16,1253.22,1268.67,1187.06,1216.17,673339.7215,16900.57,17015.92,16378.61,16662.76,261493.40809,42422294842,3827376123,4360960737.0,,24.11,123.2817,23.0,3.78,7.0,2.0,40.0,-0.0300176421221808,-0.0141710598868462,0.0074922805890469,1.2209228512072745,0.8211467617810444,0.6247188002842278,-0.303638086943002,0,1,0,0,,,0.23,0.1633333333333333,0.1966666666666666,-1.1515089221061148,-0.4299999999999997,0.0019706023776257,0.0,5,FTX bankruptcy,95.36727014731393,94.32939314966494
2022-11-17,1216.16,1228.22,1181.05,1200.43,530537.3488,16661.61,16751.0,16410.74,16692.56,228038.97873,41761612081,3797740286,4308137383.0,,23.93,123.977,20.0,3.78,7.0,2.0,40.0,-0.0130267504628451,0.001786821888,-0.0156964994858726,1.2206139047392646,0.8212031668446751,0.623409188083404,-0.2938009216764763,0,1,0,0,,,0.2,0.1633333333333333,0.1816666666666666,-1.2732902547781535,-0.1799999999999997,0.0056240838661083,0.0,6,FTX bankruptcy,93.88202491047258,93.10855671382477
2022-11-18,1200.42,1234.0,1199.18,1212.58,360218.5337,16692.56,17011.0,16546.04,16700.45,214224.18184,41871351600,3770860170,4271479321.0,,23.12,123.8524,23.0,3.78,7.0,2.0,40.0,0.0100704950931688,0.0004725539953914,0.0026243140778828,1.2198753104447713,0.8211431416110244,0.6243157087996372,-0.2919451995596396,0,1,0,0,,,0.23,0.1633333333333333,0.1966666666666666,-1.1515089221061148,-0.8099999999999987,-0.0010055305020187,0.0,7,FTX bankruptcy,94.12872439698758,94.05094316207496
2022-11-19,1212.58,1235.0,1197.67,1217.67,209789.5888,16699.43,16822.41,16553.53,16700.68,104963.15558,41766314342,3778219691,4240443756.0,,,,23.0,3.78,7.0,2.0,40.0,0.0041888755829351,1.377198915139681e-05,-0.0025117227277479,1.220062309467933,0.8212953278797681,0.6242810950505632,-0.2937214052924393,0,1,0,0,,,0.23,0.1633333333333333,0.1966666666666666,-1.1515089221061148,,,0.0,8,FTX bankruptcy,93.89259580949538,94.44573715562174
2022-11-20,1217.67,1227.07,1132.65,1142.21,531108.7607,16700.68,16753.33,16180.0,16280.23,154842.13478,41511356743,3787628318,4268561643.0,,,,24.0,3.78,7.0,1.0,34.0,-0.0639742143728909,-0.0254979489178795,-0.0061230913942603,1.2377247098483242,0.8235606361586716,0.6240812561328963,-0.2980328006733493,0,1,0,0,,,0.24,0.14,0.19,-1.205633958849243,,,0.0,9,FTX bankruptcy,93.31943939939305,88.59285802928767
2022-11-21,1142.21,1146.99,1079.76,1107.34,922647.9454,16279.5,16319.0,15476.0,15781.29,324096.997753,40292214329,3683861571,4086536281.0,,22.36,124.7009,21.0,3.78,7.0,1.0,34.0,-0.031004239269978,-0.0311264271128395,-0.0298087887976704,1.239922289958174,0.8278791707577793,0.6287658592197026,-0.3186487971880916,0,1,0,0,,,0.21,0.14,0.175,-1.3274152915212818,,,0.0,10,FTX bankruptcy,90.57875117455714,85.88824770414494
2022-11-22,1107.34,1146.13,1075.0,1139.6,748884.5791,15781.29,16315.0,15616.63,16226.94,239548.06623,40041920054,3643989199,4070975064.0,,21.29,124.2365,22.0,3.78,7.0,1.0,34.0,0.0287165806671491,0.0278477628835421,-0.0062313507658188,1.2363163794904766,0.8319258641144572,0.6278092412370244,-0.3228813346191616,0,1,0,0,,,0.22,0.14,0.18,-1.2868215139639356,-1.0700000000000005,-0.003731062819295,0.0,11,FTX bankruptcy,90.01607813131058,88.3904194589228
2022-11-23,1139.59,1190.0,1127.75,1184.52,636927.1594,16227.96,16706.0,16160.2,16603.11,264927.70408,40035393664,3724151604,3771167332.0,,20.35,123.7574,22.0,3.78,7.0,1.0,34.0,0.0386603055940436,0.0229172032029526,-0.0001630022215138,1.2455088814974618,0.8377403236861488,0.6221771514146885,-0.3229916974709078,0,1,0,0,,,0.22,0.14,0.18,-1.2868215139639356,-0.9399999999999976,-0.003863809521453,0.0,12,FTX bankruptcy,90.00140650638942,91.87453462397617
2022-11-24,1184.52,1217.71,1180.6,1203.73,486080.6123,16603.11,16812.63,16458.05,16598.95,206565.92346,40564691062,3517835892,3815788257.0,,20.42,,20.0,3.78,7.0,1.0,34.0,0.0160874400109251,-0.0002505868624879,0.0131341054698905,1.2079396588029034,0.8234362666511092,0.6264779925678645,-0.296141169673421,0,1,0,0,,,0.2,0.14,0.17,-1.368009069078628,0.0700000000000002,,0.0,13,FTX bankruptcy,91.19129140373732,93.36451352692976
