date,eth_log_return,btc_log_return,tvl_log_return,eth_vol_30d,btc_vol_30d,tvl_vol_30d,tvl_drawdown,sentiment_composite,sentiment_z,fg_norm,usdc_depeg,usdc_deviation,vix_change,dxy_log_return,ffr_change
2022-11-05,-0.010881101073359998,0.007107568128679593,0.0327096125834368,0.5790349465974464,0.31811165123170304,0.24917687676328307,-0.15072768825383068,0.2583333333333333,-0.6508523322321781,0.38,0,,,,0.0
2022-11-06,-0.036739681791493305,-0.018661385830795497,-0.002154899999755023,0.593540703879889,0.31530468623986196,0.24914987054738597,-0.15255581473590354,0.2966666666666667,-0.3396333709591898,0.4,0,,,,0.0
2022-11-07,-0.0001211584020051137,-0.015155708438383623,-0.018724771047660484,0.5906541315840461,0.31998498313591206,0.25500854813606216,-0.16827637184243419,0.26166666666666666,-0.6237898138606137,0.33,0,,,,0.0
2022-11-08,-0.16110570303953478,-0.10453994878635704,-0.00390967246913523,0.8294808622039112,0.49035059166756784,0.2549012312331348,-0.1715217904175476,0.25166666666666665,-0.7049773689753063,0.31,0,,1.1899999999999977,-0.005344159243320494,0.0
2022-11-09,-0.19097006900385916,-0.15256777937932994,-0.10144484351204412,1.0623939080768534,0.7190283775023658,0.4372349022336514,-0.2514442435791726,0.24166666666666664,-0.7861649240899988,0.29,0,,0.5500000000000007,0.0028066250279485017,0.0
2022-11-10,0.16402134152275558,0.10021156844027021,-0.11948024282900783,1.2152241883034824,0.8091361502681726,0.5965898109006081,-0.33574544024511793,0.20666666666666667,-1.0703213669914222,0.22,0,,-2.5599999999999987,-0.010225446659001122,0.0
2022-11-11,-0.007726341863364996,-0.030623543661599414,0.04024527201072567,1.2149269262607842,0.8144185372907747,0.618301838510233,-0.30846710453598536,0.22166666666666668,-0.9485400343193835,0.25,0,,-1.0100000000000016,,0.0
2022-11-12,-0.02515712695090829,-0.015243021519595541,-0.02220247712955996,1.2179407966679032,0.8134447790901032,0.621149805289223,-0.3133626325713923,0.20166666666666666,-1.1109151445487686,0.21,0,,,,0.0
2022-11-13,-0.028855371043540967,-0.02910295424526251,-0.016445699917269456,1.2214629661495053,0.817699597538661,0.6221590101236173,-0.31910235294810907,0.19166666666666665,-1.1921026996634612,0.22,0,,,,0.0
2022-11-14,0.017681623598823245,0.017579576532614275,-0.020580375962050347,1.2221504211143916,0.8216004873700681,0.6238788453681418,-0.33297226892448084,0.20166666666666666,-1.1109151445487686,0.24,0,,,,0.0
2022-11-15,0.007971169901038475,0.01677305124617919,0.004301525803665525,1.2193136147763275,0.8234290520215563,0.6249174969438337,-0.3177279137040727,0.19166666666666665,-1.1921026996634612,0.22,0,,0.8099999999999987,-0.0031541812525593847,0.0
2022-11-16,-0.030017642122180853,-0.014171059886846265,0.007492280589046956,1.2209228512072745,0.8211467617810444,0.6247188002842278,-0.30363808694300204,0.19666666666666666,-1.1515089221061148,0.23,0,,-0.4299999999999997,0.0019706023776257134,0.0
2022-11-17,-0.013026750462845106,0.0017868218880000477,-0.015696499485872636,1.2206139047392646,0.8212031668446751,0.623409188083404,-0.2938009216764763,0.18166666666666667,-1.2732902547781535,0.2,0,,-0.17999999999999972,0.005624083866108319,0.0
2022-11-18,0.01007049509316885,0.00047255399539148176,0.002624314077882812,1.2198753104447713,0.8211431416110244,0.6243157087996372,-0.2919451995596396,0.19666666666666666,-1.1515089221061148,0.23,0,,-0.8099999999999987,-0.0010055305020187607,0.0
2022-11-19,0.004188875582935169,1.377198915139681e-05,-0.0025117227277479423,1.220062309467933,0.8212953278797681,0.6242810950505632,-0.29372140529243934,0.19666666666666666,-1.1515089221061148,0.23,0,,,,0.0
2022-11-20,-0.06397421437289094,-0.025497948917879515,-0.006123091394260338,1.2377247098483242,0.8235606361586716,0.6240812561328963,-0.2980328006733493,0.19,-1.205633958849243,0.24,0,,,,0.0
2022-11-21,-0.031004239269978077,-0.031126427112839597,-0.029808788797670474,1.239922289958174,0.8278791707577793,0.6287658592197026,-0.31864879718809164,0.175,-1.3274152915212818,0.21,0,,,,0.0
2022-11-22,0.02871658066714913,0.02784776288354211,-0.006231350765818825,1.2363163794904766,0.8319258641144572,0.6278092412370244,-0.3228813346191616,0.18,-1.2868215139639356,0.22,0,,-1.0700000000000003,-0.0037310628192950513,0.0
2022-11-23,0.038660305594043654,0.02291720320295262,-0.00016300222151386065,1.2455088814974618,0.8377403236861488,0.6221771514146885,-0.3229916974709078,0.18,-1.2868215139639356,0.22,0,,-0.9399999999999977,-0.0038638095214530896,0.0
2022-11-24,0.016087440010925196,-0.00025058686248794284,0.013134105469890541,1.2079396588029034,0.8234362666511092,0.6264779925678645,-0.296141169673421,0.17,-1.368009069078628,0.2,0,,0.07000000000000028,,0.0
2022-11-25,-0.0036870159910469204,-0.004638140695062483,-0.006458091576337852,1.1759078256732656,0.8106279674815025,0.6098694093807735,-0.3006721081012143,0.17,-1.368009069078628,0.2,0,,0.0799999999999983,,0.0
2022-11-26,0.005239315074610342,-0.003854985458206651,-0.0012921030919990377,1.1733828826548307,0.8087558756828191,0.5993790601430303,-0.30157512830942135,0.18,-1.2868215139639356,0.22,0,,,,0.0
2022-11-27,-0.009768860923016917,-0.0018116393171025897,0.012390238751036097,1.1669941571940077,0.8052908707845302,0.6041103590214673,-0.2928676448963221,0.19,-1.205633958849243,0.26,0,,,,0.0
2022-11-28,-0.02211256020017287,-0.013226836427965193,-0.006208023614701887,1.1537582740144734,0.8028474785150477,0.6002944753056734,-0.29724394112532404,0.2,-1.1244464037345505,0.28,0,,,,0.0
2022-11-29,0.04087371569654329,0.014063432280211978,-0.016350513725917944,1.1673808338400915,0.8066276535247219,0.593599175539755,-0.30864093644347096,0.19,-1.205633958849243,0.26,0,,-0.3200000000000003,0.00047155943473005363,0.0
2022-11-30,0.06212395686716445,0.04292192204564575,0.025243523383006953,1.1933176446705167,0.8256390244323613,0.6063706021133504,-0.29096645319832654,0.205,-1.0838526261772046,0.29,0,,-1.3100000000000023,-0.0011651476564824628,0.0
2022-12-01,-0.014042169844776358,-0.010911911994265286,0.013246867269254978,1.1930183589222494,0.8255661729524698,0.61142742009568,-0.2815114938810571,0.195,-1.165040181291897,0.27,0,,-0.7399999999999984,-0.012324917135421883,0.31999999999999984
2022-12-02,0.014914739927744848,0.006772531170246441,0.0012531604101400202,1.189735326959642,0.8259515396490364,0.6121090408385943,-0.2806105481331814,0.195,-1.165040181291897,0.27,0,,-0.7800000000000011,4.671849688592587e-05,0.0
2022-12-03,-0.0434436044707897,-0.012216313353321956,-0.012443110016799323,1.1959691906059473,0.8257192460137296,0.6118488612645705,-0.2895065286149407,0.195,-1.165040181291897,0.27,0,,,,0.0
