date,fitted,residual,actual
2020-03-20,-0.009347288648683984,0.08030512581135099,0.070957837162667
2020-03-24,0.003988910431731652,-0.025852313194458153,-0.0218634027627265
2020-03-25,0.008454134990266555,0.07495605358270314,0.0834101885729697
2020-03-26,0.010115905114586113,-0.009356148624832012,0.0007597564897541
2020-03-27,0.008198250506407271,0.004242020976244529,0.0124402714826518
2020-03-31,-0.0012963511401399273,0.025879863941451527,0.0245835128013116
2020-04-01,-0.006304598964018129,0.024787844233884526,0.0184832452698664
2020-04-02,-0.009265420291680228,0.018774956050995627,0.0095095357593154
2020-04-03,-0.012160528231046202,0.0398510655775489,0.0276905373465027
2020-04-07,0.009433152379351013,0.029339152477158684,0.0387723048565097
2020-04-08,-0.005986074498449095,0.08458482541082009,0.078598750912371
2020-04-09,0.0025687697526624296,-0.02245167433419773,-0.0198829045815353
2020-04-14,-0.0032694292873398163,-0.005703041902199184,-0.008972471189539
2020-04-15,-0.0006669027898787626,0.012888381806559261,0.0122214790166805
2020-04-16,-0.0033209554286611747,0.14013135842499846,0.1368104029963373
2020-04-17,0.0005117115596063196,-0.08483774639851371,-0.0843260348389074
2020-04-21,-0.002156301108698039,-0.02133528941010996,-0.023491590518808
2020-04-22,-0.00559288015233627,-0.02278896725997123,-0.0283818474123075
2020-04-23,0.0006021379022767685,0.03591444813587253,0.0365165860381493
2020-04-24,-0.0114636423063672,0.028864075582995502,0.0174004332766283
2020-04-28,0.005033238184833355,0.0057102331745690444,0.0107434713594024
2020-04-29,0.0008885131526453253,0.013882820604437775,0.0147713337570831
2020-04-30,0.00908218112000908,0.05258414494436572,0.0616663260643748
2020-05-01,0.00221050359659717,-0.017349467336037372,-0.0151389637394402
2020-05-05,0.0007093937367893737,-0.048578379219001974,-0.0478689854822126
2020-05-06,-0.00238891436512163,0.00519178316445993,0.0028028687993383
2020-05-07,0.000507042663973914,0.054535809860174284,0.0550428525241482
2020-05-08,0.0002763527431923698,-0.02241946987323827,-0.0221431171300459
2020-05-12,0.01244448020337036,-0.04375895725226275,-0.0313144770488924
2020-05-13,0.0025985383821021443,-0.011100544607740044,-0.0085020062256379
2020-05-14,-0.003316218534224413,0.019984921278312515,0.0166687027440881
2020-05-15,0.000920795739575567,0.023736404829376632,0.0246572005689522
2020-05-19,0.0060842883578157226,0.016300359408756078,0.0223846477665718
2020-05-20,0.0010899323657068537,0.07496462985273444,0.0760545622184413
2020-05-21,0.0053142419831173505,0.01040317209084325,0.0157174140739606
2020-05-22,-0.001444517749627147,0.07780873987074705,0.0763642221211199
